tweet_author,tweet,like_count
Donald Trump,"This is the most important election in the history of our Country. With your vote, we will continue to bring back your jobs, lower drug prices, support our police, protect the #2A, defend our borders, and ensure more products are proudly stamped with the phrase MADE IN THE USA! https://t.co/M0Ba8QR7Nl",103361
Donald Trump,We withdrew because we won! https://t.co/aMoNQXEj4z,191015
Donald Trump,GEORGIA! Get out today and VOTE for @KLoeffler and @Perduesenate! https://t.co/YKiSx7d7lp,166781
Donald Trump,Nothing! https://t.co/OurKkatwbE,252613
Donald Trump,"As long as I am President, I will always stand with the HEROES of Law Enforcement! Joe Biden won’t. https://t.co/DfutxOeRaN",79633
Donald Trump,"Washington is being inundated with people who don’t want to see an election victory stolen by emboldened Radical Left Democrats. Our Country has had enough, they won’t take it anymore! We hear you (and love you) from the Oval Office. MAKE AMERICA GREAT AGAIN!",328137
Donald Trump,Nolte: Top Pollster Finds 47% Say ‘Likely‘ Democrats Stole Election https://t.co/d8YFhFzA5w via @BreitbartNews Rigged Election!,115529
Donald Trump,"WISCONSIN! #VOTE #MAGA 
https://t.co/wk0tCalKZ6",59103
Donald Trump,"“President Trump told us for some time we would be getting a Vaccine by the end of the year and people laughed at him, and here we are with Pfizer getting FDA approval by the end of this month. He was right.” @MariaBartiromo",302777
Donald Trump,"I hope the Democrats, and even more importantly, the weak and ineffective RINO section of the Republican Party, are looking at the thousands of people pouring into D.C. They won’t stand for a landslide election victory to be stolen. @senatemajldr @JohnCornyn @SenJohnThune",210988
Donald Trump,"Lawyers now on @newsmax, @OANN &amp; maybe @FoxNews. An open and shut case of voter fraud. Massive numbers!",300663
Donald Trump,"THE COVID DRUGS NOW AVAILABLE TO MAKE PEOPLE BETTER ARE AMAZING, BUT SELDOM TALKED ABOUT BY THE MEDIA! Mortality rate is 85% down!",255959
Donald Trump,"Voter Fraud in Detroit is rampant, and has been for many years!",300049
Donald Trump,https://t.co/gsFSghkmdM https://t.co/XB1XImsQlG,102276
Donald Trump,"“Only because of President Trump, we are going to have a Vaccine by the end of the year.”  Ronny Jackson, Texas Congressman-Elect",375658
Donald Trump,"Antifa is a Terrorist Organization, stay out of Washington. Law enforcement is watching you very closely! @DeptofDefense @TheJusticeDept @DHSgov @DHS_Wolf @SecBernhardt @SecretService @FBI",273329
Donald Trump,WE ARE MAKING BIG PROGRESS. RESULTS START TO COME IN NEXT WEEK. MAKE AMERICA GREAT AGAIN!,638933
Donald Trump,"“Evidence of voter fraud continues to grow, including 20,000 dead people on the Pennsylvania voters roll and many thousands all over the Country. Now, there has been an artificial number of votes in favor of Joe Biden.” @OANN",249157
Donald Trump,"Almost ZERO ballots rejected in Georgia this election. In years past, close to 4%. Not possible. Must have signature check on envelopes now. Very easy to do. Dems fighting because they got caught. Far more votes than needed for flip. Republicans must get tough! @BrianKempGA",217844
Donald Trump,"Just saw the vote tabulations. There is NO WAY Biden got 80,000,000 votes!!! This was a 100% RIGGED ELECTION.",496524
Donald Trump,I will be speaking at the SAVE AMERICA RALLY tomorrow on the Ellipse at 11AM Eastern. Arrive early — doors open at 7AM Eastern. BIG CROWDS! https://t.co/k4blXESc0c,192930
Donald Trump,WE WILL WIN!,1023598
Donald Trump,HAPPY THANKSGIVING! https://t.co/56e8Qy7O22,235449
Donald Trump,"WATCH FOR MASSIVE BALLOT COUNTING ABUSE AND, JUST LIKE THE EARLY VACCINE, REMEMBER I TOLD YOU SO!",420361
Donald Trump,No thanks! https://t.co/IYQSotnMG9,180746
Donald Trump,BALLOT COUNTING ABUSE!,525218
Donald Trump,Great book! https://t.co/Aq4Qus3u4r,64352
Donald Trump,BIG NEWS IN PENNSYLVANIA! https://t.co/7JqTWYUgOr,270262
Donald Trump,https://t.co/WuLi07jXaK,13181
Donald Trump,A Rigged Election! https://t.co/dAviFrkEP4,242642
Donald Trump,"A total FRAUD. Statehouse Republicans, proud, strong and honest, will never let this travesty stand! https://t.co/N28yIoRsm5",145048
Donald Trump,Looks like they are setting up a big “voter dump” against the Republican candidates. Waiting to see how many votes they need?,331427
Donald Trump,Highly Respected Ken Starr: “Pennsylvania’s three-day extension of the mail-in ballot deadline is a Constitutional Travesty.” Legal scholars agree!,318729
Donald Trump,Will use these charts in court case. The Election was a HOAX. Thank you Justin! https://t.co/9Ue7ysDIVb,136898
Donald Trump,"Will go down much further. Weekend daytime even worse, dead. They still don’t get it. Fantastic alternatives! The late/great Roger Ailes is seriously missed, but I still won LEGAL VOTES by a lot!!! https://t.co/rm0ygRnW3S",114106
Donald Trump,"Republicans, don’t let Andrew McCabe continue to get away with totally criminal activity. What he did should never be allowed to happen to our Country again. FIGHT FOR JUSTICE!",349531
Donald Trump,Just happened to have found another 4000 ballots from Fulton County. Here we go!,306738
Donald Trump,@justin_hart There will be no lockdowns other than those done by certain Democrat governors!,30870
Donald Trump,So much TRUTH! https://t.co/zdVj5Dnwnb,125237
Donald Trump,Happy 245th Birthday to the @USMC! #HappyBirthdayMarines https://t.co/ruAkzKhhrJ https://t.co/0DjMwME0km,194740
Donald Trump,"Nate Simington, a very smart and qualified individual, is having his Senate hearing today. Republicans will hopefully confirm him to the FCC ASAP! We need action NOW on this very important nomination!! @SenatorWicker @MarshaBlackburn @senatemajldr",59
Donald Trump,Pennsylvania Party Leadership votes are this week. I hope they pick very tough and smart fighters. We will WIN!!,402963
Donald Trump,"RINO Mitt Romney should read this. I’m sure, however, that he feels he got slaughtering by Obama “fair and square”. https://t.co/GGZKfSAp8z",96823
Donald Trump,A brilliant woman of courage! https://t.co/2hFos1Uwen,177381
Donald Trump,https://t.co/0q33fvaOS6,59720
Donald Trump,https://t.co/Yxc9Lom3As,160364
Donald Trump,"Nate Simington, a very smart and qualified individual, is having his Senate hearing today. Republicans will hopefully confirm him to the FCC ASAP! We need action NOW on this very important nomination!! @SenatorWicker @MarshaBlackburn @senatemajldr",190240
Donald Trump,Get smart Republicans. FIGHT! https://t.co/3fs1oPVnAx,127234
Donald Trump,The great @FoxNews daytime ratings CRASH will only get worse! https://t.co/GdOWwV7EOY,120977
Donald Trump,Ballot Corruption will be exposed tonight at 9:00pmE on @SeanHannity on @FoxNews!,457163
Donald Trump,"A must read. Impossible for Biden to have overcome these, and even greater, odds! https://t.co/cmYFY0va6p",191085
Donald Trump,So true! https://t.co/obRV4tvaNo,89671
Donald Trump,"If Vice President @Mike_Pence comes through for us, we will win the Presidency. Many States want to decertify the mistake they made in certifying incorrect &amp; even fraudulent numbers in a process  NOT approved by their State Legislatures (which it must be). Mike can send it back!",289835
Donald Trump,https://t.co/Ncauwdm8Sb,153230
Donald Trump,"Thank you Elizabeth, LOVE! https://t.co/iopJ0AJ1KV",118257
Donald Trump,"I gave a long news conference today after wishing the military a Happy Thanksgiving, &amp; realized once again that the Fake News Media coordinates so that the real message of such a conference never gets out. Primary point made was that the 2020 Election was RIGGED, and that I WON!",274247
Donald Trump,Sleepy Eyes Chuck Todd is so happy with the fake voter tabulation process that he can’t even get the words out straight. Sad to watch!,193930
Donald Trump,https://t.co/5kZAdMeoJ3,129945
Donald Trump,"Twitter is sending out totally false “Trends” that have absolutely nothing to do with what is really trending in the world. They make it up, and only negative “stuff”. Same thing will happen to Twitter as is happening to @FoxNews daytime. Also, big Conservative discrimination!",267630
Donald Trump,https://t.co/OBPF6cbxuc,52915
Donald Trump,https://t.co/Dw4zuqXURT,36924
Donald Trump,"Thank you Pensacola, Florida! Together, we are going to Make America Great Again! https://t.co/9V1MRACmMP",73023
Donald Trump,"States want to correct their votes, which they now know were based on irregularities and fraud, plus corrupt process never received legislative approval.  All Mike Pence has to do is send them back to the States, AND WE WIN. Do it Mike, this is a time for extreme courage!",251729
Donald Trump,We have great support on the Election Hoax! https://t.co/ChpkuZvc4s,157307
Donald Trump,"For purposes of National Security, Section 230 must be immediately terminated!!!",402784
Donald Trump,https://t.co/gGC3uuldxh,165123
Donald Trump,https://t.co/BKo27n6tmz,37651
Donald Trump,"“I don’t care what State your in, this computer voting system is wide open to fraud and intervention.” @LouDobbs  True, and wait until you see what’s coming!",19076
Donald Trump,"THE REPUBLICAN PARTY AND, MORE IMPORTANTLY, OUR COUNTRY, NEEDS THE PRESIDENCY MORE THAN EVER BEFORE - THE POWER OF THE VETO. STAY STRONG!",344390
Donald Trump,"They just happened to find 50,000 ballots late last night. The USA is embarrassed by fools. Our Election Process is worse than that of third world countries!",377295
Donald Trump,"“I don’t care what state you’re in, this computer voting system is wide open to fraud and intervention.” @LouDobbs  True, and wait until you see what’s coming!",400607
Donald Trump,"Wow! Twitter bans highly respected Pennsylvania State Senator Doug Mastriano after he did a great job of leading a hearing on the 2020 Election fraud. They and the Fake News, working together, want to SILENCE THE TRUTH. Can’t let that happen. This is what Communist countries do!",277136
Donald Trump,"BIG NEWS: Pennsylvania Poll Watcher: USB Drives uploaded to machines, gave Biden thousands of votes. Says 47 USB Drives are now missing. EVERY UPLOAD GAVE BIDEN 50,000 VOTES. @OANN",253400
Donald Trump,“President Trump nominates record number of Federal Judges.” @OANN,195398
Donald Trump,But how many ballots were fraudulently cast for the Dems? Did people vote after the election had ended? Did officials actually not allow OBSERVERS and Poll Watchers to look for an honest count? https://t.co/3J198nhQQy,42
Donald Trump,The States want to redo their votes. They found out they voted on a FRAUD. Legislatures never approved. Let them do it. BE STRONG!,303347
Donald Trump,Debate Poll Average: 89% Trump. 11% Sleepy Joe Biden!,211196
Donald Trump,https://t.co/4V7nu5hh8V,54837
Donald Trump,Even Mexico uses Voter I.D.,458141
Donald Trump,"Andrew McCabe was exposed for who he is today in the U.S. Senate. He was totally destroyed - an ignorant fool. The great people of the FBI must make sure that he and his former boss, James Comey, pay the price for what they have done to the reputation of the FBI.",293356
Donald Trump,Giuliani: The Case for Election Fraud Being Made By Americans https://t.co/yNfaKqYzCO via @BreitbartNews,158823
Donald Trump,"REPORT: Biden’s Thanksgiving Day Address gets just 1000 views online, a record low. Observers say a candidate with “80,000,000” votes would get many more online viewers. Numbers don’t lie, or add up! @OANN",252891
Donald Trump,These scoundrels are only toying with the @sendavidperdue (a great guy) vote. Just didn’t want to announce quite yet. They’ve got as many ballots as are necessary. Rigged Election!,246426
Donald Trump,That’s why Mike was number one in his class at West Point! https://t.co/hldYAphqmM,254503
Donald Trump,Thanks Dan. Big win for us in Texas! https://t.co/MqNSOf6AWP,167210
Donald Trump,News Conference on Reduced Drug Prices at 2:30 P.M.,234298
Donald Trump,https://t.co/wJN4zv0y8O,629796
Donald Trump,https://t.co/izItBeFE6G,225460
Donald Trump,"Mike Pence didn’t have the courage to do what should have been done to protect our Country and our Constitution, giving States a chance to certify a corrected set of facts, not the fraudulent or inaccurate ones which they were asked to previously certify. USA demands the truth!",0
Donald Trump,He should pay a big price for his subversion! https://t.co/1nFjPBpvfV,151688
Donald Trump,“Statistical sampling to prove widespread voter fraud...multiple accounts of fraud and voting irregularities may overturn election”...call for paper ballots.  @RandPaul  @OANN,231091
Donald Trump,"Our Economy is doing great, and is ready to set new records - best ever (Again!). Biden will destroy everything with his massive Tax Increases. Don’t let it happen!!!",122508
Donald Trump,Please support our Capitol Police and Law Enforcement. They are truly on the side of our Country. Stay peaceful!,582183
Donald Trump,A brave patriot. More &amp; more people are stepping forward to expose this Rigged Election! https://t.co/DfOVDQu2Qp,224443
Donald Trump,"#VoteEarlyDay #MAGA🇺🇸
https://t.co/gsFSghkmdM",29720
Donald Trump,"The Fake News is talking about CASES, CASES, CASES. This includes many low risk people. Media is doing everything possible to create fear prior to November 3rd. The Cases are up because TESTING is way up, by far the most, and best, in the world. Mortality rate is DOWN 85% plus!",151202
Donald Trump,"...Why won’t they do it, and why are they so fast to certify a meaningless tally?",168225
Donald Trump,"The Governor of Georgia, and Secretary of State, refuse to let us look at signatures which would expose hundreds of thousands of illegal ballots, and give the Republican Party and me, David Perdue, and perhaps Kelly Loeffler, a BIG VICTORY...",271514
Donald Trump,"If I do not sound like a typical Washington politician, it’s because I’m NOT a politician. If I do not always play by the rules of the Washington Establishment, it’s because I was elected to fight for YOU, harder than anyone ever has before! https://t.co/gsFSgh2KPc https://t.co/kNuIW02Dfc",148543
Donald Trump,"...I could not sit by and watch THEM take advantage of YOU anymore. They are coming after me because I am standing in their way, and standing guard for this Country we LOVE!",192226
Donald Trump,"...For years, I watched one betrayal after another, as politicians like Joe Biden sold out American Workers at every turn—shattering the lives of millions of American families while THEIR families raked in millions of dollars...",166147
Donald Trump,"Joe Biden is a corrupt politician and he’s COMPROMISED. China is desperate for Biden to win because if Biden Wins, CHINA WINS – and China will OWN AMERICA. This corruption is EXACTLY why I decided to run for President in the first place...",264880
Donald Trump,"THANK YOU to all of the Great American Patriots in The Villages, Florida! #MAGA https://t.co/CNEVwNroVE",101700
Donald Trump,https://t.co/LCQcdlRkhz,55398
Donald Trump,https://t.co/CGlqRmhTV4,77065
Donald Trump,"I am asking for everyone at the U.S. Capitol to remain peaceful. No violence! Remember, WE are the Party of Law &amp; Order – respect the Law and our great men and women in Blue. Thank you!",730357
Donald Trump,"On the 37th anniversary of the horrendous attack on our United States Marines, Sailors, and Soldiers in Beirut, we honor the 241 heroes who lost their lives that day. We will NEVER forget them. Semper Fi!",154586
Donald Trump,I Was In Philadelphia Watching Fraud Happen. Here’s How It Went Down https://t.co/fRMw3ilbYG They shut out our Poll Watchers and Observers. Those hundreds of thousands of votes should not be allowed. Corrupt politics.,126956
Donald Trump,https://t.co/S4Hl0i6Qdp,49989
Donald Trump,"Joe Biden’s response to the H1N1 Swine Flu, far less lethal than Covid 19, was one of the weakest and worst in the history of fighting epidemics and pandemics. It was pathetic, those involved have said. Joe didn’t have a clue!",136961
Donald Trump,"The Georgia recount is a joke and is being done UNDER PROTEST. Even though thousands of fraudulent votes have been found, the real number is in matching signatures. Governor must open up the unconstitutional Consent Decree and call in the Legislature!",249940
Donald Trump,They didn’t even allow Republican Observers into the building to watch. A terrible insult to our Constitution! https://t.co/Q8RgaTs6ev,122164
Donald Trump,https://t.co/Pm2PKV0Fp3,0
Donald Trump,These are the things and events that happen when a sacred landslide election victory is so unceremoniously &amp; viciously stripped away from great patriots who have been badly &amp; unfairly treated for so long. Go home with love &amp; in peace. Remember this day forever!,0
Donald Trump,"“The numbers have not improved, it is still 71% out of balance”, stated Wayne County, Michigan,  Canvassers. “There is widespread irregularities in poll numbers.” There are “more votes than people”. The two harassed patriot Canvassers refuse to sign the papers!",195592
Donald Trump,".@SeanParnellUSA is a bright star for Pennsylvania. Military, Vets, Low Taxes and your 2nd Amendment will be totally protected. His opponent is a weak and ineffective puppet for Pelosi and her new Radical Left friends. Vote for Sean Parnell!",82398
Donald Trump,Obama spied on our campaign - and got caught! https://t.co/HyQW0v2SD4,182234
Donald Trump,https://t.co/csX07ZVWGe,629326
Donald Trump,https://t.co/OLZnCJq93Y,107449
Donald Trump,https://t.co/cwOQLhQNFq,178132
Donald Trump,https://t.co/wYYTUuM5ih,93748
Donald Trump,"So important to VOTE for Republicans in the House. Break away from Pelosi and her high Taxing new Radical Left friends. Protect your 2nd Amendment, Military, Vets, and sooo much more!",201903
Donald Trump,People will not accept this Rigged Election! https://t.co/XQAOIt5ZwU,255370
Donald Trump,"The 75,000,000 great American Patriots who voted for me, AMERICA FIRST, and MAKE AMERICA GREAT AGAIN, will have a GIANT VOICE long into the future. They will not be disrespected or treated unfairly in any way, shape or form!!!",480997
Donald Trump,https://t.co/YHscjY6G8t,140414
Donald Trump,"No, the 2020 Election was a total scam, we won by a lot (and will hopefully turn over the fraudulent result), but we must get out and help David and Kelly, two GREAT people. Otherwise we are playing right into the hands of some very sick people. I will be in Georgia on Saturday! https://t.co/1ziqFq9S6O",139741
